data/0001, 제목, 그림의 수, 표의 수
data/0001,EU의 SAPARD를 원용한 북한의 농업,농촌개발,2,8
data/0001,북한 탄소시장 잠재력 추정 연구 -에너지 부문을 중심으로-,0,1
data/0001,북한의 농업ㆍ식량 사정과 대응 방향,1,0
data/0001,북한의 보건의료와 여성건강상태에 관한 고찰,1,0
